"filename", "language", "JSON with Comments", "C++", "Ini", "comment", "blank", "total"
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\BTManager.hpp", "C++", 0, 14, 0, 1, 3, 18
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\FirebaseHandler.hpp", "C++", 0, 23, 0, 1, 5, 29
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\IR_Receiver.hpp", "C++", 0, 22, 0, 0, 4, 26
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\LearnIR.hpp", "C++", 0, 13, 0, 1, 5, 19
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\Prefs.hpp", "C++", 0, 37, 0, 0, 9, 46
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\RTDB_Path.hpp", "C++", 0, 5, 0, 9, 4, 18
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\UniqueIdentifiers.hpp", "C++", 0, 4, 0, 9, 6, 19
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\WiFiHandler.hpp", "C++", 0, 9, 0, 3, 5, 17
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\include\eeprom_manager.hpp", "C++", 0, 20, 0, 11, 14, 45
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\platformio.ini", "Ini", 0, 0, 9, 9, 2, 20
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\BTManager.cpp", "C++", 0, 39, 0, 2, 16, 57
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\FirebaseHandler.cpp", "C++", 0, 152, 0, 17, 53, 222
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\IR_Receiver.cpp", "C++", 0, 175, 0, 51, 64, 290
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\LearnIR.cpp", "C++", 0, 265, 0, 47, 38, 350
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\Prefs.cpp", "C++", 0, 149, 0, 15, 45, 209
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\WiFiHandler.cpp", "C++", 0, 28, 0, 1, 9, 38
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\eeprom_manager.cpp", "C++", 0, 24, 0, 28, 22, 74
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\src\main.cpp", "C++", 0, 259, 0, 50, 77, 386
"c:\Users\Osfield\Documents\PlatformIO\Projects\school_project_Smart_AC_Controller\workspace.code-workspace", "JSON with Comments", 67, 0, 0, 0, 0, 67
"Total", "-", 67, 1238, 9, 255, 381, 1950